Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0356500000524000246;Электронный аукцион;Поставка изделий медицинского назначения (перчатки виниловые);;'242592004644659200100103410010000244';;;500000.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000010: Перчатки смотровые/процедурные виниловые, неопудренные;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ЧАЙКОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ЧАЙКОВСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА""";14.04.2024;14.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ - 100%";14.04.2024;23.04.2024;
44-ФЗ;№0372200015824000016;Электронный аукцион;Поставка хозяйственных товаров;;'242781902039478190100100050010000244';;;35215.78;RUB;;;;;"28.29.12.112: Фильтры очистки воды бытовые; 22.19.60.119: Перчатки резиновые прочие; 22.29.23.120: Предметы домашнего обихода пластмассовые прочие";"22.19.60.119-00000017: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000018: Перчатки резиновые общего назначения (кроме медицинских); 22.19.60.119-00000019: Перчатки резиновые общего назначения (кроме медицинских)";ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 16 ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ФИЗИЧЕСКОМУ РАЗВИТИЮ ДЕТЕЙ ПЕТРОДВОРЦОВОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 16 ОБЩЕРАЗВИВАЮЩЕГО ВИДА С ПРИОРИТЕТНЫМ ОСУЩЕСТВЛЕНИЕМ ДЕЯТЕЛЬНОСТИ ПО ФИЗИЧЕСКОМУ РАЗВИТИЮ ДЕТЕЙ ПЕТРОДВОРЦОВОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;03.04.2024;14.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";03.04.2024;12.04.2024;
44-ФЗ;№0338200013524000008;Электронный аукцион;Поставка перчаток медицинских;;'242410117181041010100100140012219244';;;472884.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ЦЕНТР ОБЩЕСТВЕННОГО ЗДОРОВЬЯ И МЕДИЦИНСКОЙ ПРОФИЛАКТИКИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАМЧАТСКИЙ КРАЕВОЙ ЦЕНТР ОБЩЕСТВЕННОГО ЗДОРОВЬЯ И МЕДИЦИНСКОЙ ПРОФИЛАКТИКИ""";27.03.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";;11.04.2024;
44-ФЗ;№0122200002524001298;Электронный аукцион;Поставка перчаток;;'242272004836027200100100050012219244';;;1314000.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ХАБАРОВСКАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";КОМИТЕТ ГОСУДАРСТВЕННОГО ЗАКАЗА ПРАВИТЕЛЬСТВА ХАБАРОВСКОГО КРАЯ;29.03.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";29.03.2024;10.04.2024;
44-ФЗ;№0878500000224000395;Электронный аукцион;Поставка перчаток смотровых/процедурных нитриловых, неопудренных, нестерильных;;'242790100968279010100100400012219244';;;515500.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""БИРОБИДЖАНСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ ИНТЕРНАТ""";"ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ЕВРЕЙСКОЙ АВТОНОМНОЙ ОБЛАСТИ""";02.04.2024;12.04.2024;Определение поставщика завершено;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";02.04.2024;10.04.2024;
44-ФЗ;№0387200009124001987;Электронный аукцион;Поставка медицинских изделий;;'242860201522486020100100530980000244';;;1500000.00;RUB;;;;;"22.19.60.113: Перчатки хирургические из каучукового латекса стерильные одноразовые; 22.19.60.119: Перчатки резиновые прочие; 22.19.60.111: Перчатки хирургические резиновые";"22.19.60.113-00000001: Перчатки хирургические из латекса гевеи, неопудренные; 22.19.60.111-00000001: Перчатки хирургические из полихлорпрена, неопудренные; 22.19.60.113-00000003: Перчатки хирургические из латекса гевеи, неопудренные, антибактериальные; 22.19.60.111-00000004: Перчатки хирургические полиизопреновые, неопудренные; 22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные; 22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""СУРГУТСКАЯ КЛИНИЧЕСКАЯ ТРАВМАТОЛОГИЧЕСКАЯ БОЛЬНИЦА""";"КАЗЕННОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ЦЕНТР ЛЕКАРСТВЕННОГО МОНИТОРИНГА""";27.03.2024;12.04.2024;Определение поставщика завершено;Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%;27.03.2024;05.04.2024;
44-ФЗ;№0860200000824003360;Запрос котировок в электронной форме;Поставка перчаток медицинских;;'242643400790964340100100700032219244';;;300000.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;"22.19.60.119-00000002: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, нестерильные; 22.19.60.119-00000004: Перчатки смотровые/процедурные из латекса гевеи, неопудренные, стерильные";"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САРАТОВСКОЙ ОБЛАСТИ ""ТАТИЩЕВСКАЯ РАЙОННАЯ БОЛЬНИЦА""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""ГОСУДАРСТВЕННОЕ АГЕНТСТВО ПО ЦЕНТРАЛИЗАЦИИ ЗАКУПОК""";12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;24.04.2024;
44-ФЗ;№0142200001324008333;Электронный аукцион;Поставка медицинских изделий (перчатки медицинские нестерильные) в учреждения Самарской области (совместные торги);;242632000440763240100100430012219244, 242632000622863240100100390012219244;;;471000.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;;ГЛАВНОЕ  УПРАВЛЕНИЕ  ОРГАНИЗАЦИИ  ТОРГОВ  САМАРСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0142200001324008334;Электронный аукцион;Поставка медицинских изделий (перчатки медицинские нестерильные) в учреждения Самарской области (совместные торги);;242632000448563240100100820012219244, 242632502438063250100100070040000244;;;1351600.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;;ГЛАВНОЕ  УПРАВЛЕНИЕ  ОРГАНИЗАЦИИ  ТОРГОВ  САМАРСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
44-ФЗ;№0142200001324008332;Электронный аукцион;Поставка медицинских изделий (перчатки медицинские нестерильные) в учреждения Самарской области (совместные торги);;242631204070863120100100190012219244, 242631601943263160100101060010000244;;;3295833.00;RUB;;;;;22.19.60.119: Перчатки резиновые прочие;22.19.60.119-00000008: Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные;;ГЛАВНОЕ  УПРАВЛЕНИЕ  ОРГАНИЗАЦИИ  ТОРГОВ  САМАРСКОЙ ОБЛАСТИ;12.04.2024;12.04.2024;Подача заявок;"Участникам, заявки или окончательные предложения которых содержат предложения о поставке товаров в соответствии с приказом Минфина России от 04.06.2018 № 126н - 15%; Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ";12.04.2024;22.04.2024;
